sc,	sm,	mu_c,	mu_m,	lnZ,	D,	d 
0.8944,	2.0,	0.5222,	0.1,	-243.6,	4.343,	1.855
1.116,	2.0,	0.5222,	0.1,	-243.7,	4.503,	1.748
1.337,	2.0,	0.5222,	0.1,	-243.8,	4.584,	1.67
1.558,	2.0,	0.5222,	0.1,	-243.8,	4.501,	1.937
1.779,	2.0,	0.5222,	0.1,	-243.9,	4.721,	1.868
2.0,	2.0,	0.5222,	0.1,	-243.3,	3.997,	1.613
0.01,	0.01,	0.7333,	0.1,	-737.4,	21.39,	45.9
0.2311,	0.01,	0.7333,	0.1,	-720.5,	21.1,	90.39
0.4522,	0.01,	0.7333,	0.1,	-716.0,	21.65,	44.2
0.6733,	0.01,	0.7333,	0.1,	-719.0,	20.86,	58.59
0.8944,	0.01,	0.7333,	0.1,	-719.7,	20.93,	53.33
1.116,	0.01,	0.7333,	0.1,	-716.6,	21.32,	36.14
1.337,	0.01,	0.7333,	0.1,	-716.0,	24.51,	19.96
1.558,	0.01,	0.7333,	0.1,	-717.9,	20.81,	34.36
1.779,	0.01,	0.7333,	0.1,	-717.7,	24.17,	41.36
2.0,	0.01,	0.7333,	0.1,	-718.7,	21.73,	49.46
0.01,	0.2311,	0.7333,	0.1,	-279.8,	19.08,	5.204
0.2311,	0.2311,	0.7333,	0.1,	-261.8,	21.25,	7.904
0.4522,	0.2311,	0.7333,	0.1,	-260.8,	21.04,	3.824
0.6733,	0.2311,	0.7333,	0.1,	-260.8,	21.29,	3.449
0.8944,	0.2311,	0.7333,	0.1,	-260.7,	21.23,	3.121
1.116,	0.2311,	0.7333,	0.1,	-262.8,	22.61,	6.109
1.337,	0.2311,	0.7333,	0.1,	-262.5,	21.76,	6.536
1.558,	0.2311,	0.7333,	0.1,	-263.0,	22.74,	4.934
1.779,	0.2311,	0.7333,	0.1,	-261.4,	21.25,	5.165
2.0,	0.2311,	0.7333,	0.1,	-263.0,	22.7,	4.61
0.01,	0.4522,	0.7333,	0.1,	-267.1,	7.171,	1.902
0.2311,	0.4522,	0.7333,	0.1,	-248.4,	8.436,	3.247
0.4522,	0.4522,	0.7333,	0.1,	-247.6,	8.323,	2.132
0.6733,	0.4522,	0.7333,	0.1,	-247.0,	7.606,	1.808
0.8944,	0.4522,	0.7333,	0.1,	-247.7,	8.222,	2.315
1.116,	0.4522,	0.7333,	0.1,	-247.0,	7.788,	1.204
1.337,	0.4522,	0.7333,	0.1,	-247.2,	7.902,	2.148
1.558,	0.4522,	0.7333,	0.1,	-248.6,	9.142,	2.469
1.779,	0.4522,	0.7333,	0.1,	-248.6,	9.24,	2.357
2.0,	0.4522,	0.7333,	0.1,	-248.3,	9.109,	1.818
0.01,	0.6733,	0.7333,	0.1,	-263.4,	3.758,	1.643
0.2311,	0.6733,	0.7333,	0.1,	-245.6,	5.828,	2.933
0.4522,	0.6733,	0.7333,	0.1,	-244.7,	5.478,	1.891
0.6733,	0.6733,	0.7333,	0.1,	-244.4,	5.16,	1.573
0.8944,	0.6733,	0.7333,	0.1,	-244.8,	5.411,	1.981
1.116,	0.6733,	0.7333,	0.1,	-244.4,	4.964,	1.939
1.337,	0.6733,	0.7333,	0.1,	-245.5,	6.173,	2.05
1.558,	0.6733,	0.7333,	0.1,	-244.9,	5.501,	1.874
1.779,	0.6733,	0.7333,	0.1,	-245.1,	5.667,	2.014
2.0,	0.6733,	0.7333,	0.1,	-245.0,	5.644,	1.937
0.01,	0.8944,	0.7333,	0.1,	-262.9,	3.261,	1.314
0.2311,	0.8944,	0.7333,	0.1,	-244.9,	5.228,	3.101
0.4522,	0.8944,	0.7333,	0.1,	-243.6,	4.139,	1.82
0.6733,	0.8944,	0.7333,	0.1,	-244.5,	4.968,	2.466
0.8944,	0.8944,	0.7333,	0.1,	-244.2,	4.75,	2.209
1.116,	0.8944,	0.7333,	0.1,	-243.7,	4.351,	1.703
1.337,	0.8944,	0.7333,	0.1,	-244.3,	4.897,	2.185
1.558,	0.8944,	0.7333,	0.1,	-244.2,	5.039,	1.582
1.779,	0.8944,	0.7333,	0.1,	-244.8,	5.378,	2.127
2.0,	0.8944,	0.7333,	0.1,	-245.4,	5.863,	2.543
0.01,	1.116,	0.7333,	0.1,	-263.5,	3.411,	1.92
0.2311,	1.116,	0.7333,	0.1,	-245.4,	5.805,	2.637
